date,ln(qte),qte_injectee_Mwh
1129,8.99853072364062,8091.187
1130,9.01310125966963,8209.943
1131,8.99667290541487,8076.169
1132,9.01582169177995,8232.308
1133,9.02513221295187,8309.313
1134,8.99684450671292,8077.555
1135,8.97089618423148,7870.652
1136,9.00305762052692,8127.898
1137,9.01081239003484,8191.173
1138,9.04040779387754,8437.217
1139,9.01379116040779,8215.609
1140,9.02115442909978,8276.326
1141,9.01900902867852,8258.589
1142,8.98972225406887,8020.229
1143,8.96149894045939,7797.036
1144,8.97006426804166,7864.107
1145,8.97786289479221,7925.676
1146,9.01119455773592,8194.304
1147,9.03617422920484,8401.573
1148,9.03552140027326,8396.09
1149,9.02620392927266,8318.223
1150,9.00780145469613,8166.547
1151,9.0106990909296,8190.245
1152,9.01787198982528,8249.204
1153,9.0257418248061,8314.38
1154,9.04331684139169,8461.797
1155,9.00820668464089,8169.857
1156,8.95960874526202,7782.312
1157,8.94148554933379,7642.542
1158,8.99618716116886,8072.247
1159,9.00786304553863,8167.05
