Date,conso_moy_quot_MW_PCS0C
01/29/21,68949.8750
01/30/21,66009.7500
01/31/21,67512.0000
02/01/21,78438.7917
02/02/21,71356.1667
02/03/21,66949.1667
02/04/21,76906.9583
02/05/21,74966.5417
02/06/21,64895.8333
02/07/21,74038.7083
02/08/21,99498.2917
02/09/21,107766.0833
02/10/21,111707.1667
02/11/21,118169.0833
02/12/21,118170.7500
02/13/21,113442.3333
02/14/21,103574.5417
02/15/21,99734.7917
02/16/21,87267.9583
02/17/21,77659.7500
02/18/21,78773.9167
02/19/21,74581.3750
02/20/21,56725.5417
02/21/21,53740.4583
02/22/21,65045.7500
02/23/21,57597.3750
02/24/21,53265.1250
02/25/21,58645.5833
02/26/21,67112.0833
02/27/21,64402.1250
02/28/21,65034.1667
03/01/21,74726.2917
03/02/21,74007.1250
